"/Users/rwikkamilya/MSc/Computational Creativity/computational_creativity_group_ass_1/.venv/bin/python" /Users/rwikkamilya/MSc/Computational Creativity/computational_creativity_group_ass_1/src/run_ga.py 
  - sugar_brown          : 173.1 g
  - sugar_white          : 74.5 g
Rank     : 4
Name     : cookie_969650
ID       : child_352324472
Category : cookie
Fitness  : 0.832
Ingredients (g):
  - baking_soda          : 8.0 g
  - butter_unsalted      : 159.1 g
  - buttermilk           : 19.0 g
  - egg_whole            : 72.2 g
  - flour_ap             : 187.4 g
  - jam_raspberry        : 14.0 g
  - nuts_pecan           : 6.1 g
  - pear_grated          : 22.1 g
  - raisins              : 4.5 g
  - salt_fine            : 4.1 g
  - sugar_brown          : 144.5 g
  - sugar_white          : 62.1 g
Rank     : 5
Name     : cookie_504133
ID       : child_271601362
Category : cookie
Fitness  : 0.7923
Ingredients (g):
  - baking_soda          : 9.8 g
  - butter_unsalted      : 196.7 g
  - buttermilk           : 24.3 g
  - egg_whole            : 89.3 g
  - flour_ap             : 231.7 g
  - jam_raspberry        : 17.3 g
  - nuts_pecan           : 9.1 g
  - pear_grated          : 27.4 g
  - salt_fine            : 5.1 g
  - sugar_brown          : 178.7 g
  - sugar_white          : 76.8 g

Process finished with exit code 0

Configs =

    ap = argparse.ArgumentParser(description="Evolve cookie recipes with a GA.")
    ap.add_argument("--init", default="../configs/init_recipes.json")
    ap.add_argument("--ingredients", default="../configs/ingredients.json")
    ap.add_argument("--overall", default="../configs/overall_configs.json")
    ap.add_argument("--pairings", default="../configs/flavor_pairings.json")
    ap.add_argument("--category", default="cookie")

    ap.add_argument("--population", type=int, default=50)
    ap.add_argument("--generations", type=int, default=500)
    ap.add_argument("--seed", type=int, default=5)

    ap.add_argument("--save-csv", type=str, default="run_output.csv")

    weights={
            "flavor_score": 0,
            "pairing_score": 0.5,
            "soft_rules_score": 1,
            "ratio_score": 0.25,
            "novelty_score": 0.25,
            "simplicity_score": 0.3,
        }

        max_generations=args.generations,
        population_size=args.population,
        random_seed=args.seed,

        tournament_k=3,
        survivor_fraction=0.5,
        elitism_n=3,

        crossover_prob=0.50,
        mutation_rate=0.2,
        mutation_strength=0.5,

        add_ingredient_prob=0.5,
        remove_ingredient_prob=0.3,

        alpha_low=0.20,
        alpha_high=0.80,

        max_ingredients=20,
        trim_below_grams=0.5,
        bloat_remove_boost=0.35

